|======================Sat Nov 22 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
16:44:31:345|PARSED-STRING: Mod0CellVoltage0:163
            |RAW-STRING:    #17163

16:44:31:409|PARSED-STRING: Mod0CellVoltage1:3895
            |RAW-STRING:    #183895

16:44:31:457|PARSED-STRING: Mod0CellVoltage2:3901
            |RAW-STRING:    #193901

16:44:31:521|PARSED-STRING: Mod0PcbTemperature:3895
            |RAW-STRING:    #203895

16:44:31:601|PARSED-STRING: Mod0CellVoltage4:3901
            |RAW-STRING:    #213901

16:44:31:665|PARSED-STRING: Mod0CellVoltage5:8203
            |RAW-STRING:    #228203

16:44:31:713|PARSED-STRING: Mod0CellVoltage6:3907
            |RAW-STRING:    #233907

16:44:31:793|PARSED-STRING: Mod0CellVoltage7:8203
            |RAW-STRING:    #248203

16:44:31:857|PARSED-STRING: Mod1PcbTemperature:3907
            |RAW-STRING:    #253907

16:44:31:905|PARSED-STRING: Mod1CellTemperature:9737
            |RAW-STRING:    #269737

16:44:31:953|PARSED-STRING: Mod1CellVoltage0:167
            |RAW-STRING:    #27167

16:44:32:033|PARSED-STRING: Mod1CellVoltage1:3898
            |RAW-STRING:    #283898

16:44:32:097|PARSED-STRING: Mod1CellVoltage2:3895
            |RAW-STRING:    #293895

16:44:32:161|PARSED-STRING: Mod1CellVoltage3:3898
            |RAW-STRING:    #303898

16:44:32:209|PARSED-STRING: Mod1CellVoltage4:3895
            |RAW-STRING:    #313895

16:44:32:273|PARSED-STRING: Mod1CellVoltage5:3905
            |RAW-STRING:    #323905

16:44:32:337|PARSED-STRING: Mod1CellVoltage6:3915
            |RAW-STRING:    #333915

16:44:32:417|PARSED-STRING: Mod1CellVoltage7:3905
            |RAW-STRING:    #343905

16:44:32:465|PARSED-STRING: Mod2PcbTemperature:3915
            |RAW-STRING:    #353915

16:44:32:529|PARSED-STRING: Mod2CellTemperature:3035
            |RAW-STRING:    #363035

16:44:32:593|PARSED-STRING: Mod2CellVoltage0:178
            |RAW-STRING:    #37178

16:44:32:657|PARSED-STRING: Mod2CellVoltage1:3893
            |RAW-STRING:    #383893

16:44:32:721|PARSED-STRING: Mod2CellVoltage2:3894
            |RAW-STRING:    #393894

16:44:32:769|PARSED-STRING: Mod2CellVoltage3:3893
            |RAW-STRING:    #403893

16:44:32:849|PARSED-STRING: Mod2CellVoltage4:3894
            |RAW-STRING:    #413894

16:44:32:913|PARSED-STRING: Mod2CellVoltage5:3895
            |RAW-STRING:    #423895

16:44:32:976|PARSED-STRING: Mod2CellVoltage6:3876
            |RAW-STRING:    #433876

16:44:33:025|PARSED-STRING: Mod2CellVoltage7:3895
            |RAW-STRING:    #443895

16:44:33:105|PARSED-STRING: Mod3PcbTemperature:3876
            |RAW-STRING:    #453876

16:44:33:152|PARSED-STRING: Mod3CellTemperature:3039
