|======================Sat Nov 22 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
16:46:17:529 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

16:46:17:593 | PARSED-STRING: Mod3CellVoltage0:180
             | RAW-STRING   : #47180

16:46:17:657 | PARSED-STRING: Mod3CellVoltage1:3859
             | RAW-STRING   : #483859

16:46:17:721 | PARSED-STRING: Mod3CellVoltage2:3910
             | RAW-STRING   : #493910

16:46:17:785 | PARSED-STRING: Mod3CellVoltage3:3859
             | RAW-STRING   : #503859

16:46:17:849 | PARSED-STRING: Mod3CellVoltage4:3910
             | RAW-STRING   : #513910

16:46:17:913 | PARSED-STRING: Mod3CellVoltage5:3914
             | RAW-STRING   : #523914

16:46:17:977 | PARSED-STRING: Mod3CellVoltage6:3962
             | RAW-STRING   : #533962

16:46:18:025 | PARSED-STRING: Mod3CellVoltage7:3914
             | RAW-STRING   : #543914

16:46:18:089 | PARSED-STRING: BatteryVoltage:3962
             | RAW-STRING   : #553962

16:46:18:169 | PARSED-STRING: BatteryCurrent:125174
             | RAW-STRING   : #56125174

16:46:18:232 | PARSED-STRING: BatteryVoltageThresholdRising:9420
             | RAW-STRING   : #579420

16:46:18:281 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

16:46:18:392 | PARSED-STRING: 57279624
             | RAW-STRING   : #5957279624

16:46:18:473 | PARSED-STRING: 200830
             | RAW-STRING   : #00200830

16:46:18:537 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

16:46:18:601 | PARSED-STRING: DriverSetCurrent:21190
             | RAW-STRING   : #0221190

16:46:18:649 | PARSED-STRING: VehicleVelocity:3875
             | RAW-STRING   : #033875

16:46:18:713 | PARSED-STRING: BusCurrentA:123896
             | RAW-STRING   : #04123896

16:46:18:777 | PARSED-STRING: BusVoltage:206273
             | RAW-STRING   : #05206273

16:46:18:841 | PARSED-STRING: MotorVelocityRpm:454
             | RAW-STRING   : #06454

16:46:18:905 | PARSED-STRING: MotorVoltageReal:11
             | RAW-STRING   : #0711

16:46:18:985 | PARSED-STRING: MotorCurrentReal:11140
             | RAW-STRING   : #0811140

16:46:19:033 | PARSED-STRING: BackEmfImaginary:27485
             | RAW-STRING   : #0927485

16:46:19:097 | PARSED-STRING: DspBoardTemp:30991
             | RAW-STRING   : #1130991

16:46:19:161 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

16:46:19:225 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

16:46:19:290 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

16:46:19:338 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

16:46:19:401 | PARSED-STRING: Mod0CellVoltage1:3902
             | RAW-STRING   : #183902

16:46:19:465 | PARSED-STRING: Mod0CellVoltage2:3904
             | RAW-STRING   : #193904

16:46:19:544 | PARSED-STRING: Mod0PcbTemperature:3902
             | RAW-STRING   : #203902

16:46:19:593 | PARSED-STRING: Mod0CellVoltage4:3904
             | RAW-STRING   : #213904

16:46:19:673 | PARSED-STRING: Mod0CellVoltage5:3914
             | RAW-STRING   : #223914

16:46:19:720 | PARSED-STRING: Mod0CellVoltage6:3909
             | RAW-STRING   : #233909

16:46:19:785 | PARSED-STRING: Mod0CellVoltage7:3914
             | RAW-STRING   : #243914

16:46:19:849 | PARSED-STRING: Mod1PcbTemperature:3909
             | RAW-STRING   : #253909

16:46:19:913 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

