|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
18:17:35:097 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

18:17:35:160 | PARSED-STRING: Mod0CellVoltage0:160
             | RAW-STRING   : #17160

18:17:35:225 | PARSED-STRING: Mod0CellVoltage1:3891
             | RAW-STRING   : #183891

18:17:35:289 | PARSED-STRING: Mod0CellVoltage2:3897
             | RAW-STRING   : #193897

18:17:35:353 | PARSED-STRING: Mod0PcbTemperature:3891
             | RAW-STRING   : #203891

18:17:35:416 | PARSED-STRING: Mod0CellVoltage4:3897
             | RAW-STRING   : #213897

18:17:35:480 | PARSED-STRING: Mod0CellVoltage5:3907
             | RAW-STRING   : #223907

18:17:35:544 | PARSED-STRING: Mod0CellVoltage6:3902
             | RAW-STRING   : #233902

18:17:35:609 | PARSED-STRING: Mod0CellVoltage7:3907
             | RAW-STRING   : #243907

18:17:35:673 | PARSED-STRING: Mod1PcbTemperature:3902
             | RAW-STRING   : #253902

18:17:35:737 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

18:17:35:801 | PARSED-STRING: Mod1CellVoltage0:166
             | RAW-STRING   : #27166

18:17:35:849 | PARSED-STRING: Mod1CellVoltage1:3895
             | RAW-STRING   : #283895

18:17:35:913 | PARSED-STRING: Mod1CellVoltage2:3881
             | RAW-STRING   : #293881

18:17:35:977 | PARSED-STRING: Mod1CellVoltage3:3895
             | RAW-STRING   : #303895

18:17:36:040 | PARSED-STRING: Mod1CellVoltage4:3881
             | RAW-STRING   : #313881

18:17:36:088 | PARSED-STRING: Mod1CellVoltage5:3901
             | RAW-STRING   : #323901

18:17:36:152 | PARSED-STRING: Mod1CellVoltage6:3910
             | RAW-STRING   : #333910

18:17:36:216 | PARSED-STRING: Mod1CellVoltage7:3901
             | RAW-STRING   : #343901

18:17:36:280 | PARSED-STRING: Mod2PcbTemperature:3910
             | RAW-STRING   : #353910

18:17:36:344 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

18:17:36:423 | PARSED-STRING: Mod2CellVoltage0:177
             | RAW-STRING   : #37177

18:17:36:472 | PARSED-STRING: Mod2CellVoltage1:3890
             | RAW-STRING   : #383890

18:17:36:536 | PARSED-STRING: Mod2CellVoltage2:3890
             | RAW-STRING   : #393890

18:17:36:600 | PARSED-STRING: Mod2CellVoltage3:3890
             | RAW-STRING   : #403890

18:17:36:663 | PARSED-STRING: Mod2CellVoltage4:3890
             | RAW-STRING   : #413890

18:17:36:727 | PARSED-STRING: Mod2CellVoltage5:3878
             | RAW-STRING   : #423878

18:17:36:791 | PARSED-STRING: Mod2CellVoltage6:3871
             | RAW-STRING   : #433871

18:17:36:856 | PARSED-STRING: Mod2CellVoltage7:3878
             | RAW-STRING   : #443878

18:17:36:920 | PARSED-STRING: Mod3PcbTemperature:3871
             | RAW-STRING   : #453871

18:17:36:983 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

18:17:37:048 | PARSED-STRING: Mod3CellVoltage0:181
             | RAW-STRING   : #47181

18:17:37:112 | PARSED-STRING: Mod3CellVoltage1:3884
             | RAW-STRING   : #483884

18:17:37:159 | PARSED-STRING: Mod3CellVoltage2:3885
             | RAW-STRING   : #493885

18:17:37:224 | PARSED-STRING: Mod3CellVoltage3:3884
             | RAW-STRING   : #503884

18:17:37:288 | PARSED-STRING: Mod3CellVoltage4:3885
             | RAW-STRING   : #513885

18:17:37:352 | PARSED-STRING: Mod3CellVoltage5:3888
             | RAW-STRING   : #523888

18:17:37:400 | PARSED-STRING: Mod3CellVoltage6:3896
             | RAW-STRING   : #533896

18:17:37:479 | PARSED-STRING: Mod3CellVoltage7:3888
             | RAW-STRING   : #543888

18:17:37:543 | PARSED-STRING: BatteryVoltage:3896
             | RAW-STRING   : #553896

18:17:37:591 | PARSED-STRING: BatteryCurrent:124157
             | RAW-STRING   : #56124157

18:17:37:655 | PARSED-STRING: BatteryVoltageThresholdRising:-4572
             | RAW-STRING   : #57-4572

18:17:37:719 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

18:17:37:784 | PARSED-STRING: 57279616
             | RAW-STRING   : #5957279616

18:17:37:927 | PARSED-STRING: 357118
             | RAW-STRING   : #00357118

18:17:37:975 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

18:17:38:039 | PARSED-STRING: DriverSetCurrent:20101
             | RAW-STRING   : #0220101

18:17:38:103 | PARSED-STRING: VehicleVelocity:25310
             | RAW-STRING   : #0325310

18:17:38:167 | PARSED-STRING: BusCurrentA:120422
             | RAW-STRING   : #04120422

18:17:38:215 | PARSED-STRING: BusVoltage:195672
             | RAW-STRING   : #05195672

18:17:38:279 | PARSED-STRING: MotorVelocityRpm:2206
             | RAW-STRING   : #062206

18:17:38:343 | PARSED-STRING: MotorVoltageReal:-54
             | RAW-STRING   : #07-54

18:17:38:407 | PARSED-STRING: MotorCurrentReal:10572
             | RAW-STRING   : #0810572

18:17:38:471 | PARSED-STRING: BackEmfImaginary:27891
             | RAW-STRING   : #0927891

18:17:38:535 | PARSED-STRING: DspBoardTemp:31067
             | RAW-STRING   : #1131067

18:17:38:599 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

18:17:38:662 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

18:17:38:726 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

18:17:38:791 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

18:17:38:838 | PARSED-STRING: Mod0CellVoltage1:3865
             | RAW-STRING   : #183865

18:17:38:903 | PARSED-STRING: Mod0CellVoltage2:3875
             | RAW-STRING   : #193875

18:17:38:967 | PARSED-STRING: Mod0PcbTemperature:3865
             | RAW-STRING   : #203865

18:17:39:031 | PARSED-STRING: Mod0CellVoltage4:3875
             | RAW-STRING   : #213875

18:17:39:094 | PARSED-STRING: Mod0CellVoltage5:3882
             | RAW-STRING   : #223882

18:17:39:158 | PARSED-STRING: Mod0CellVoltage6:3869
             | RAW-STRING   : #233869

18:17:39:222 | PARSED-STRING: Mod0CellVoltage7:3882
             | RAW-STRING   : #243882

18:17:39:286 | PARSED-STRING: Mod1PcbTemperature:3869
             | RAW-STRING   : #253869

18:17:39:367 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

18:17:39:430 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

18:17:39:462 | PARSED-STRING: Mod1CellVoltage1:3875
             | RAW-STRING   : #283875

18:17:39:542 | PARSED-STRING: Mod1CellVoltage2:3836
             | RAW-STRING   : #293836

18:17:39:590 | PARSED-STRING: Mod1CellVoltage3:3875
             | RAW-STRING   : #303875

18:17:39:670 | PARSED-STRING: Mod1CellVoltage4:3836
             | RAW-STRING   : #313836

18:17:39:718 | PARSED-STRING: Mod1CellVoltage5:3877
             | RAW-STRING   : #323877

18:17:39:798 | PARSED-STRING: Mod1CellVoltage6:-3878
             | RAW-STRING   : #33-3878

18:17:39:846 | PARSED-STRING: Mod1CellVoltage7:3877
             | RAW-STRING   : #343877

18:17:39:910 | PARSED-STRING: Mod2PcbTemperature:-3878
             | RAW-STRING   : #35-3878

18:17:39:990 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

18:17:40:038 | PARSED-STRING: Mod2CellVoltage0:178
             | RAW-STRING   : #37178

18:17:40:102 | PARSED-STRING: Mod2CellVoltage1:3868
             | RAW-STRING   : #383868

18:17:40:166 | PARSED-STRING: Mod2CellVoltage2:3867
             | RAW-STRING   : #393867

18:17:40:230 | PARSED-STRING: Mod2CellVoltage3:3868
             | RAW-STRING   : #403868

18:17:40:278 | PARSED-STRING: Mod2CellVoltage4:3867
             | RAW-STRING   : #413867

18:17:40:342 | PARSED-STRING: Mod2CellVoltage5:3817
             | RAW-STRING   : #423817

18:17:40:421 | PARSED-STRING: Mod2CellVoltage6:3839
             | RAW-STRING   : #433839

18:17:40:485 | PARSED-STRING: Mod2CellVoltage7:3817
             | RAW-STRING   : #443817

18:17:40:549 | PARSED-STRING: Mod3PcbTemperature:3839
             | RAW-STRING   : #453839

