|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
20:13:46:306 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

20:13:46:370 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

20:13:46:434 | PARSED-STRING: Mod1CellVoltage1:3898
             | RAW-STRING   : #283898

20:13:46:498 | PARSED-STRING: Mod1CellVoltage2:3895
             | RAW-STRING   : #293895

20:13:46:561 | PARSED-STRING: Mod1CellVoltage3:3898
             | RAW-STRING   : #303898

20:13:46:610 | PARSED-STRING: Mod1CellVoltage4:3895
             | RAW-STRING   : #313895

20:13:46:674 | PARSED-STRING: Mod1CellVoltage5:3905
             | RAW-STRING   : #323905

20:13:46:738 | PARSED-STRING: Mod1CellVoltage6:3915
             | RAW-STRING   : #333915

20:13:46:802 | PARSED-STRING: Mod1CellVoltage7:3905
             | RAW-STRING   : #343905

20:13:46:850 | PARSED-STRING: Mod2PcbTemperature:3915
             | RAW-STRING   : #353915

20:13:46:930 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:13:46:993 | PARSED-STRING: Mod2CellVoltage0:178
             | RAW-STRING   : #37178

20:13:47:057 | PARSED-STRING: Mod2CellVoltage1:3893
             | RAW-STRING   : #383893

20:13:47:106 | PARSED-STRING: Mod2CellVoltage2:3894
             | RAW-STRING   : #393894

20:13:47:169 | PARSED-STRING: Mod2CellVoltage3:3893
             | RAW-STRING   : #403893

20:13:47:233 | PARSED-STRING: Mod2CellVoltage4:3894
             | RAW-STRING   : #413894

20:13:47:297 | PARSED-STRING: Mod2CellVoltage5:3895
             | RAW-STRING   : #423895

20:13:47:361 | PARSED-STRING: Mod2CellVoltage6:3876
             | RAW-STRING   : #433876

20:13:47:425 | PARSED-STRING: Mod2CellVoltage7:3895
             | RAW-STRING   : #443895

20:13:47:489 | PARSED-STRING: Mod3PcbTemperature:3876
             | RAW-STRING   : #453876

20:13:47:553 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

20:13:47:601 | PARSED-STRING: Mod3CellVoltage0:182
             | RAW-STRING   : #47182

20:13:47:665 | PARSED-STRING: Mod3CellVoltage1:3887
             | RAW-STRING   : #483887

20:13:47:729 | PARSED-STRING: Mod3CellVoltage2:3890
             | RAW-STRING   : #493890

20:13:47:793 | PARSED-STRING: Mod3CellVoltage3:3887
             | RAW-STRING   : #503887

20:13:47:872 | PARSED-STRING: Mod3CellVoltage4:3890
             | RAW-STRING   : #513890

20:13:47:937 | PARSED-STRING: Mod3CellVoltage5:3893
             | RAW-STRING   : #523893

20:13:47:985 | PARSED-STRING: Mod3CellVoltage6:3914
             | RAW-STRING   : #533914

20:13:48:049 | PARSED-STRING: Mod3CellVoltage7:3893
             | RAW-STRING   : #543893

20:13:48:113 | PARSED-STRING: BatteryVoltage:3914
             | RAW-STRING   : #553914

20:13:48:177 | PARSED-STRING: BatteryCurrent:37368
             | RAW-STRING   : #5637368

20:13:48:241 | PARSED-STRING: BatteryVoltageThresholdRising:25
             | RAW-STRING   : #5725

20:13:48:305 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

20:13:48:417 | PARSED-STRING: 57279619
             | RAW-STRING   : #5957279619

20:13:48:480 | PARSED-STRING: 0
             | RAW-STRING   : #000

20:13:48:544 | PARSED-STRING: DriverSetSpeedRPM:0
             | RAW-STRING   : #010

20:13:48:608 | PARSED-STRING: DriverSetCurrent:10799
             | RAW-STRING   : #0210799

20:13:48:673 | PARSED-STRING: VehicleVelocity:0
             | RAW-STRING   : #030

20:13:48:736 | PARSED-STRING: BusCurrentA:27142
             | RAW-STRING   : #0427142

20:13:48:801 | PARSED-STRING: BusVoltage:105123
             | RAW-STRING   : #05105123

20:13:48:864 | PARSED-STRING: MotorVelocityRpm:137
             | RAW-STRING   : #06137

20:13:48:928 | PARSED-STRING: MotorVoltageReal:0
             | RAW-STRING   : #070

20:13:48:992 | PARSED-STRING: MotorCurrentReal:7146
             | RAW-STRING   : #087146

20:13:49:056 | PARSED-STRING: BackEmfImaginary:29777
             | RAW-STRING   : #0929777

20:13:49:104 | PARSED-STRING: DspBoardTemp:31672
             | RAW-STRING   : #1131672

20:13:49:168 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

20:13:49:232 | PARSED-STRING: Mod0PcbTemperature:0
