|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
20:22:41:434 | PARSED-STRING: BatteryCurrent:122153
             | RAW-STRING   : #56122153

20:22:41:482 | PARSED-STRING: BatteryVoltageThresholdRising:-24967
             | RAW-STRING   : #57-24967

20:22:41:546 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

20:22:41:594 | PARSED-STRING: 57279624
             | RAW-STRING   : #5957279624

20:22:41:738 | PARSED-STRING: 329035
             | RAW-STRING   : #00329035

20:22:41:786 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

20:22:41:850 | PARSED-STRING: DriverSetCurrent:29214
             | RAW-STRING   : #0229214

20:22:41:929 | PARSED-STRING: VehicleVelocity:32606
             | RAW-STRING   : #0332606

20:22:41:978 | PARSED-STRING: BusCurrentA:119314
             | RAW-STRING   : #04119314

20:22:42:041 | PARSED-STRING: BusVoltage:284380
             | RAW-STRING   : #05284380

20:22:42:105 | PARSED-STRING: MotorVelocityRpm:3375
             | RAW-STRING   : #063375

20:22:42:169 | PARSED-STRING: MotorVoltageReal:36
             | RAW-STRING   : #0736

20:22:42:233 | PARSED-STRING: MotorCurrentReal:15363
             | RAW-STRING   : #0815363

20:22:42:297 | PARSED-STRING: BackEmfImaginary:27133
             | RAW-STRING   : #0927133

20:22:42:345 | PARSED-STRING: DspBoardTemp:30936
             | RAW-STRING   : #1130936

20:22:42:425 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

20:22:42:473 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

20:22:42:537 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

20:22:42:601 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

20:22:42:665 | PARSED-STRING: Mod0CellVoltage1:3829
             | RAW-STRING   : #183829

20:22:42:745 | PARSED-STRING: Mod0CellVoltage2:3849
             | RAW-STRING   : #193849

20:22:42:793 | PARSED-STRING: Mod0PcbTemperature:3829
             | RAW-STRING   : #203829

20:22:42:857 | PARSED-STRING: Mod0CellVoltage4:3849
             | RAW-STRING   : #213849

20:22:42:921 | PARSED-STRING: Mod0CellVoltage5:3859
             | RAW-STRING   : #223859

20:22:42:985 | PARSED-STRING: Mod0CellVoltage6:3853
             | RAW-STRING   : #233853

20:22:43:033 | PARSED-STRING: Mod0CellVoltage7:3859
             | RAW-STRING   : #243859

20:22:43:113 | PARSED-STRING: Mod1PcbTemperature:3853
             | RAW-STRING   : #253853

20:22:43:177 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

20:22:43:241 | PARSED-STRING: Mod1CellVoltage0:165
             | RAW-STRING   : #27165

20:22:43:289 | PARSED-STRING: Mod1CellVoltage1:3848
             | RAW-STRING   : #283848

20:22:43:353 | PARSED-STRING: Mod1CellVoltage2:3783
             | RAW-STRING   : #293783

20:22:43:480 | PARSED-STRING: Mod1CellVoltage3:3848
             | RAW-STRING   : #303848

20:22:43:512 | PARSED-STRING: Mod1CellVoltage4:3783
             | RAW-STRING   : #313783

20:22:43:544 | PARSED-STRING: Mod1CellVoltage5:3854
             | RAW-STRING   : #323854

20:22:43:609 | PARSED-STRING: Mod1CellVoltage6:3860
             | RAW-STRING   : #333860

20:22:43:673 | PARSED-STRING: Mod1CellVoltage7:3854
             | RAW-STRING   : #343854

20:22:43:736 | PARSED-STRING: Mod2PcbTemperature:3860
             | RAW-STRING   : #353860

20:22:43:800 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:22:43:849 | PARSED-STRING: Mod2CellVoltage0:176
             | RAW-STRING   : #37176

20:22:43:928 | PARSED-STRING: Mod2CellVoltage1:3840
             | RAW-STRING   : #383840

20:22:43:976 | PARSED-STRING: Mod2CellVoltage2:3841
             | RAW-STRING   : #393841

20:22:44:056 | PARSED-STRING: Mod2CellVoltage3:3840
             | RAW-STRING   : #403840

20:22:44:104 | PARSED-STRING: Mod2CellVoltage4:3841
             | RAW-STRING   : #413841

20:22:44:168 | PARSED-STRING: Mod2CellVoltage5:3763
             | RAW-STRING   : #423763

20:22:44:248 | PARSED-STRING: Mod2CellVoltage6:3824
             | RAW-STRING   : #433824

20:22:44:296 | PARSED-STRING: Mod2CellVoltage7:3763
             | RAW-STRING   : #443763

