|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
20:29:56:514 | PARSED-STRING: Mod0CellVoltage4:3904
             | RAW-STRING   : #213904

20:29:56:579 | PARSED-STRING: Mod0CellVoltage5:3914
             | RAW-STRING   : #223914

20:29:56:642 | PARSED-STRING: Mod0CellVoltage6:3909
             | RAW-STRING   : #233909

20:29:56:706 | PARSED-STRING: Mod0CellVoltage7:3914
             | RAW-STRING   : #243914

20:29:56:770 | PARSED-STRING: Mod1PcbTemperature:3909
             | RAW-STRING   : #253909

20:29:56:818 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

20:29:56:898 | PARSED-STRING: Mod1CellVoltage0:166
             | RAW-STRING   : #27166

20:29:56:946 | PARSED-STRING: Mod1CellVoltage1:3903
             | RAW-STRING   : #283903

20:29:57:026 | PARSED-STRING: Mod1CellVoltage2:3898
             | RAW-STRING   : #293898

20:29:57:074 | PARSED-STRING: Mod1CellVoltage3:3903
             | RAW-STRING   : #303903

20:29:57:138 | PARSED-STRING: Mod1CellVoltage4:3890
             | RAW-STRING   : #313890

20:29:57:202 | PARSED-STRING: Mod1CellVoltage5:3903
             | RAW-STRING   : #323903

20:29:57:282 | PARSED-STRING: Mod1CellVoltage6:3913
             | RAW-STRING   : #333913

20:29:57:330 | PARSED-STRING: Mod1CellVoltage7:3903
             | RAW-STRING   : #343903

20:29:57:410 | PARSED-STRING: Mod2PcbTemperature:3913
             | RAW-STRING   : #353913

20:29:57:442 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:29:57:521 | PARSED-STRING: Mod2CellVoltage0:176
             | RAW-STRING   : #37176

20:29:57:570 | PARSED-STRING: Mod2CellVoltage1:3899
             | RAW-STRING   : #383899

20:29:57:633 | PARSED-STRING: Mod2CellVoltage2:3897
             | RAW-STRING   : #393897

20:29:57:713 | PARSED-STRING: Mod2CellVoltage3:3899
             | RAW-STRING   : #403899

20:29:57:762 | PARSED-STRING: Mod2CellVoltage4:3897
             | RAW-STRING   : #413897

20:29:57:825 | PARSED-STRING: Mod2CellVoltage5:3897
             | RAW-STRING   : #423897

20:29:57:889 | PARSED-STRING: Mod2CellVoltage6:3878
             | RAW-STRING   : #433878

20:29:57:954 | PARSED-STRING: Mod2CellVoltage7:3897
             | RAW-STRING   : #443897

20:29:58:033 | PARSED-STRING: Mod3PcbTemperature:3878
             | RAW-STRING   : #453878

20:29:58:081 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

20:29:58:145 | PARSED-STRING: Mod3CellVoltage0:180
             | RAW-STRING   : #47180

20:29:58:193 | PARSED-STRING: Mod3CellVoltage1:3887
             | RAW-STRING   : #483887

20:29:58:273 | PARSED-STRING: Mod3CellVoltage2:3889
             | RAW-STRING   : #493889

20:29:58:321 | PARSED-STRING: Mod3CellVoltage3:3887
             | RAW-STRING   : #503887

20:29:58:385 | PARSED-STRING: Mod3CellVoltage4:3889
             | RAW-STRING   : #513889

20:29:58:449 | PARSED-STRING: Mod3CellVoltage5:3891
             | RAW-STRING   : #523891

20:29:58:513 | PARSED-STRING: Mod3CellVoltage6:3903
             | RAW-STRING   : #533903

20:29:58:577 | PARSED-STRING: Mod3CellVoltage7:3891
             | RAW-STRING   : #543891

20:29:58:640 | PARSED-STRING: BatteryVoltage:3903
             | RAW-STRING   : #553903

20:29:58:721 | PARSED-STRING: BatteryCurrent:124157
             | RAW-STRING   : #56124157

20:29:58:752 | PARSED-STRING: BatteryVoltageThresholdRising:-2933
             | RAW-STRING   : #57-2933

20:29:58:833 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

20:29:58:880 | PARSED-STRING: 57279616
             | RAW-STRING   : #5957279616

20:29:59:040 | PARSED-STRING: 200781
             | RAW-STRING   : #00200781

20:29:59:089 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

20:29:59:137 | PARSED-STRING: DriverSetCurrent:20880
             | RAW-STRING   : #0220880

20:29:59:201 | PARSED-STRING: VehicleVelocity:4350
             | RAW-STRING   : #034350

