|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
20:43:19:216 | PARSED-STRING: BatteryVoltage:3903
             | RAW-STRING   : #553903

20:43:19:296 | PARSED-STRING: BatteryCurrent:124141
             | RAW-STRING   : #56124141

20:43:19:360 | PARSED-STRING: BatteryVoltageThresholdRising:-3353
             | RAW-STRING   : #57-3353

20:43:19:407 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

20:43:19:472 | PARSED-STRING: 57279616
             | RAW-STRING   : #5957279616

20:43:19:600 | PARSED-STRING: 200586
             | RAW-STRING   : #00200586

20:43:19:664 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

20:43:19:727 | PARSED-STRING: DriverSetCurrent:20585
             | RAW-STRING   : #0220585

20:43:19:792 | PARSED-STRING: VehicleVelocity:5802
             | RAW-STRING   : #035802

20:43:19:855 | PARSED-STRING: BusCurrentA:123606
             | RAW-STRING   : #04123606

20:43:19:919 | PARSED-STRING: BusVoltage:200382
             | RAW-STRING   : #05200382

20:43:20:000 | PARSED-STRING: MotorVelocityRpm:667
             | RAW-STRING   : #06667

20:43:20:032 | PARSED-STRING: MotorVoltageReal:-8
             | RAW-STRING   : #07-8

20:43:20:095 | PARSED-STRING: MotorCurrentReal:10826
             | RAW-STRING   : #0810826

20:43:20:159 | PARSED-STRING: BackEmfImaginary:27756
             | RAW-STRING   : #0927756

20:43:20:223 | PARSED-STRING: DspBoardTemp:31045
             | RAW-STRING   : #1131045

20:43:20:303 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

20:43:20:351 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

20:43:20:431 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

20:43:20:479 | PARSED-STRING: Mod0CellVoltage0:160
             | RAW-STRING   : #17160

20:43:20:543 | PARSED-STRING: Mod0CellVoltage1:3891
             | RAW-STRING   : #183891

20:43:20:607 | PARSED-STRING: Mod0CellVoltage2:3897
             | RAW-STRING   : #193897

20:43:20:671 | PARSED-STRING: Mod0PcbTemperature:3891
             | RAW-STRING   : #203891

20:43:20:719 | PARSED-STRING: Mod0CellVoltage4:3897
             | RAW-STRING   : #213897

20:43:20:782 | PARSED-STRING: Mod0CellVoltage5:3907
             | RAW-STRING   : #223907

20:43:20:863 | PARSED-STRING: Mod0CellVoltage6:3902
             | RAW-STRING   : #233902

20:43:20:926 | PARSED-STRING: Mod0CellVoltage7:3907
             | RAW-STRING   : #243907

20:43:20:975 | PARSED-STRING: Mod1PcbTemperature:3902
             | RAW-STRING   : #253902

20:43:21:039 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

20:43:21:119 | PARSED-STRING: Mod1CellVoltage0:166
             | RAW-STRING   : #27166

20:43:21:167 | PARSED-STRING: Mod1CellVoltage1:3895
             | RAW-STRING   : #283895

20:43:21:230 | PARSED-STRING: Mod1CellVoltage2:3881
             | RAW-STRING   : #293881

20:43:21:294 | PARSED-STRING: Mod1CellVoltage3:3895
             | RAW-STRING   : #303895

20:43:21:359 | PARSED-STRING: Mod1CellVoltage4:3881
             | RAW-STRING   : #313881

20:43:21:422 | PARSED-STRING: Mod1CellVoltage5:3901
             | RAW-STRING   : #323901

20:43:21:486 | PARSED-STRING: Mod1CellVoltage6:3910
             | RAW-STRING   : #333910

20:43:21:535 | PARSED-STRING: Mod1CellVoltage7:3901
             | RAW-STRING   : #343901

20:43:21:614 | PARSED-STRING: Mod2PcbTemperature:3910
             | RAW-STRING   : #353910

20:43:21:662 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:43:21:726 | PARSED-STRING: Mod2CellVoltage0:177
             | RAW-STRING   : #37177

20:43:21:806 | PARSED-STRING: Mod2CellVoltage1:3890
             | RAW-STRING   : #383890

20:43:21:854 | PARSED-STRING: Mod2CellVoltage2:3890
             | RAW-STRING   : #393890

20:43:21:918 | PARSED-STRING: Mod2CellVoltage3:3890
             | RAW-STRING   : #403890

20:43:21:982 | PARSED-STRING: Mod2CellVoltage4:3890
             | RAW-STRING   : #413890

20:43:22:030 | PARSED-STRING: Mod2CellVoltage5:3878
             | RAW-STRING   : #423878

20:43:22:110 | PARSED-STRING: Mod2CellVoltage6:3871
             | RAW-STRING   : #433871

20:43:22:174 | PARSED-STRING: Mod2CellVoltage7:3878
             | RAW-STRING   : #443878

