|======================Sat Nov 29 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
10:47:56:660 | PARSED-STRING: Mod2CellVoltage7:3893
             | RAW-STRING   : #443893

10:47:56:712 | PARSED-STRING: Mod3PcbTemperature:3874
             | RAW-STRING   : #453874

10:47:56:777 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

10:47:56:840 | PARSED-STRING: Mod3CellVoltage0:182
             | RAW-STRING   : #47182

10:47:56:904 | PARSED-STRING: Mod3CellVoltage1:3885
             | RAW-STRING   : #483885

10:47:56:968 | PARSED-STRING: Mod3CellVoltage2:3888
             | RAW-STRING   : #493888

10:47:57:033 | PARSED-STRING: Mod3CellVoltage3:3885
             | RAW-STRING   : #503885

10:47:57:096 | PARSED-STRING: Mod3CellVoltage4:3888
             | RAW-STRING   : #513888

10:47:57:144 | PARSED-STRING: Mod3CellVoltage5:3891
             | RAW-STRING   : #523891

10:47:57:208 | PARSED-STRING: Mod3CellVoltage6:3911
             | RAW-STRING   : #533911

10:47:57:288 | PARSED-STRING: Mod3CellVoltage7:3891
             | RAW-STRING   : #543891

10:47:57:336 | PARSED-STRING: BatteryVoltage:3911
             | RAW-STRING   : #553911

10:47:57:384 | PARSED-STRING: BatteryCurrent:76405
             | RAW-STRING   : #5676405

10:47:57:449 | PARSED-STRING: BatteryVoltageThresholdRising:28
             | RAW-STRING   : #5728

10:47:57:529 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

10:47:57:576 | PARSED-STRING: 57279619
             | RAW-STRING   : #5957279619

10:47:57:704 | PARSED-STRING: 0
             | RAW-STRING   : #000

10:47:57:929 | PARSED-STRING: DriverSetSpeedRPM:0
             | RAW-STRING   : #010

10:47:57:929 | PARSED-STRING: DriverSetCurrent:23148
             | RAW-STRING   : #0223148

10:47:57:929 | PARSED-STRING: VehicleVelocity:0
             | RAW-STRING   : #030

10:47:57:960 | PARSED-STRING: BusCurrentA:40976
             | RAW-STRING   : #0440976

10:47:58:024 | PARSED-STRING: BusVoltage:225334
             | RAW-STRING   : #05225334

10:47:58:072 | PARSED-STRING: MotorVelocityRpm:687
             | RAW-STRING   : #06687

10:47:58:153 | PARSED-STRING: MotorVoltageReal:0
             | RAW-STRING   : #070

10:47:58:201 | PARSED-STRING: MotorCurrentReal:15548
             | RAW-STRING   : #0815548

10:47:58:265 | PARSED-STRING: BackEmfImaginary:29619
             | RAW-STRING   : #0929619

10:47:58:329 | PARSED-STRING: DspBoardTemp:31595
             | RAW-STRING   : #1131595

10:47:58:393 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

10:47:58:457 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

10:47:58:521 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

10:47:58:585 | PARSED-STRING: Mod0CellVoltage0:163
             | RAW-STRING   : #17163

10:47:58:648 | PARSED-STRING: Mod0CellVoltage1:3894
             | RAW-STRING   : #183894

10:47:58:697 | PARSED-STRING: Mod0CellVoltage2:3900
             | RAW-STRING   : #193900

10:47:58:777 | PARSED-STRING: Mod0PcbTemperature:3894
             | RAW-STRING   : #203894

10:47:58:841 | PARSED-STRING: Mod0CellVoltage4:3900
             | RAW-STRING   : #213900

10:47:58:888 | PARSED-STRING: Mod0CellVoltage5:8201
             | RAW-STRING   : #228201

10:47:58:969 | PARSED-STRING: Mod0CellVoltage6:3907
             | RAW-STRING   : #233907

10:47:59:017 | PARSED-STRING: Mod0CellVoltage7:8201
             | RAW-STRING   : #248201

10:47:59:097 | PARSED-STRING: Mod1PcbTemperature:3907
             | RAW-STRING   : #253907

10:47:59:145 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

10:47:59:209 | PARSED-STRING: Mod1CellVoltage0:168
             | RAW-STRING   : #27168

10:47:59:273 | PARSED-STRING: Mod1CellVoltage1:3897
             | RAW-STRING   : #283897

10:47:59:336 | PARSED-STRING: Mod1CellVoltage2:3893
             | RAW-STRING   : #293893

10:47:59:400 | PARSED-STRING: Mod1CellVoltage3:3897
             | RAW-STRING   : #303897

10:47:59:465 | PARSED-STRING: Mod1CellVoltage4:3893
             | RAW-STRING   : #313893

10:47:59:513 | PARSED-STRING: Mod1CellVoltage5:3904
             | RAW-STRING   : #323904

10:47:59:593 | PARSED-STRING: Mod1CellVoltage6:3914
