|======================Sat Nov 29 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
11:49:22:160 | PARSED-STRING: DriverSetSpeedRPM:500
             | RAW-STRING   : #000500

11:49:22:224 | PARSED-STRING: DriverSetCurrent:1000
             | RAW-STRING   : #011000

11:49:22:272 | PARSED-STRING: VehicleVelocity:2000
             | RAW-STRING   : #022000

11:49:22:336 | PARSED-STRING: BusCurrentA:3000
             | RAW-STRING   : #033000

11:49:22:367 | PARSED-STRING: BusVoltage:4000
             | RAW-STRING   : #044000

11:49:22:431 | PARSED-STRING: MotorVelocityRpm:5000
             | RAW-STRING   : #055000

11:49:22:479 | PARSED-STRING: MotorVoltageReal:6000
             | RAW-STRING   : #066000

11:49:22:527 | PARSED-STRING: MotorCurrentReal:7000
             | RAW-STRING   : #077000

11:49:22:575 | PARSED-STRING: BackEmfImaginary:8000
             | RAW-STRING   : #088000

11:49:22:623 | PARSED-STRING: IpmHeatSinkTemp:9000
             | RAW-STRING   : #099000

11:49:22:686 | PARSED-STRING: DspBoardTemp:10000
             | RAW-STRING   : #1010000

11:49:22:734 | PARSED-STRING: DcBusAmpHours:11000
             | RAW-STRING   : #1111000

11:49:22:767 | PARSED-STRING: ReceivedErrorCount:12
             | RAW-STRING   : #1212

11:49:22:831 | PARSED-STRING: TransmittedErrorCount:13
             | RAW-STRING   : #1313

11:49:22:879 | PARSED-STRING: Mod0PcbTemperature:14
             | RAW-STRING   : #1414

11:49:22:943 | PARSED-STRING: Mod0CellTemperature:15
             | RAW-STRING   : #1515

11:49:22:974 | PARSED-STRING: Mod0CellVoltage0:16
             | RAW-STRING   : #1616

11:49:23:039 | PARSED-STRING: Mod0CellVoltage1:17
             | RAW-STRING   : #1717

11:49:23:071 | PARSED-STRING: Mod0CellVoltage2:18
             | RAW-STRING   : #1818

11:49:23:118 | PARSED-STRING: Mod0PcbTemperature:19
             | RAW-STRING   : #1919

11:49:23:182 | PARSED-STRING: Mod0CellVoltage4:20
             | RAW-STRING   : #2020

11:49:23:231 | PARSED-STRING: Mod0CellVoltage5:21
             | RAW-STRING   : #2121

11:49:23:262 | PARSED-STRING: Mod0CellVoltage6:22
             | RAW-STRING   : #2222

